date,bidclose,tickqty,ema,ema_slow,ema_res1,ema_res2,ema_res3,volumn,value1,tickqtyLimit,peaks_min,peaks_max,sell,zone_sell,buy,zone_buy
2023-02-14 16:14:00,1.07208,937,1.071959105184381,1.0720353254205433,1.072105675060065,1.0721894847929399,1.0724900884905144,830.7757233743372,1,350,,,0,0.0,0,0.0
2023-02-14 16:15:00,1.07212,634,1.0720234631106287,1.0720541419937561,1.0721077214800556,1.0721821706042094,1.0724662118099788,794.9983191244577,1,350,,,0,0.0,0,0.0
2023-02-14 16:16:00,1.07212,970,1.0720620778663772,1.072068777106255,1.0721094755543334,1.072175626330082,1.072443875560911,826.8168065563744,1,350,,,0,0.0,0,0.0
2023-02-14 16:17:00,1.07235,713,1.0721772467198265,1.0721312710826427,1.0721438361894287,1.0721939814532313,1.0724378190722827,806.1228417279427,1,350,,,0,0.0,0,0.0
2023-02-14 16:18:00,1.07281,1064,1.072430348031896,1.0722820997309443,1.072239002448082,1.072258825510786,1.0724618307481082,853.0095977774077,1,350,,,0,0.0,0,0.0
2023-02-14 16:19:00,1.07313,841,1.0727102088191376,1.072470522012957,1.0723662878126416,1.0723505280885985,1.0725049384469336,850.8260345451519,1,350,,,0,0.0,0,0.0
2023-02-14 16:20:00,1.07308,857,1.0728581252914826,1.0726059615656331,1.0724682466965498,1.0724273146055883,1.072542039196443,851.9485737187605,1,350,,,0,0.0,0,0.0
2023-02-14 16:21:00,1.07312,693,1.0729628751748899,1.0727201923288259,1.0725613543113284,1.0725002288576317,1.072579326994123,823.0488330426222,1,350,,,0,0.0,0,0.0
2023-02-14 16:22:00,1.07305,748,1.072997725104934,1.0727934829224204,1.0726311608382815,1.072558099504197,1.072609692997475,809.4035906712363,1,350,,,0,0.0,0,0.0
2023-02-14 16:23:00,1.07331,593,1.0731226350629606,1.0729082644952161,1.072728137861384,1.072637246924808,1.0726548740985502,770.0574832764661,1,350,,1.0,0,0.0,0,0.0
2023-02-14 16:24:00,1.07328,597,1.0731855810377764,1.0729908723851682,1.0728069753097578,1.0727049051432493,1.0726952048053249,738.5924863171086,1,350,,,0,0.0,0,0.0
2023-02-14 16:25:00,1.07284,744,1.073047348622666,1.0729573451884644,1.0728116931226495,1.0727191256544863,1.0727045464315366,739.5756706230889,1,350,,,0,0.0,0,0.0
2023-02-14 16:26:00,1.07197,1029,1.0726164091735997,1.0727379351465836,1.0726914512479853,1.0726402703224351,1.0726571563356262,792.1982759643455,1,350,,,0,0.0,0,0.0
2023-02-14 16:27:00,1.07238,945,1.0725218455041599,1.0726583940028984,1.0726469582125586,1.0726128734463893,1.0726392752804605,819.9804076071919,1,350,,,0,0.0,0,0.0
2023-02-14 16:28:00,1.072,907,1.0723131073024958,1.0725120842244766,1.0725545356107644,1.0725483604520323,1.0725980317112729,835.8021516786115,1,350,,,0,0.0,0,0.0
2023-02-14 16:29:00,1.07165,948,1.0720478643814975,1.0723205099523707,1.0724253162377981,1.0724537961939236,1.0725368683713075,856.2017604643186,1,350,,,0,0.0,0,0.0
2023-02-14 16:30:00,1.07163,1059,1.0718807186288986,1.0721670632962885,1.0723116996323985,1.0723670808050896,1.0724783607310893,893.0741676526244,1,350,,,0,0.0,0,0.0
2023-02-14 16:31:00,1.07163,966,1.0717804311773393,1.0720477158971133,1.0722143139706273,1.0722894933519223,1.0724236277777563,906.3334098976017,1,350,,,0,0.0,0,0.0
